panel_group,method_name,date_label,date,issue_time,target_time,hour,realized_pv,q05,q10,q25,q40,q50,q60,q75,q90,q95,raw_scenario_id,scenario_id,scenario_probability,pv_s_kw
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 06:00:00,6,,,,,,,,,,,4.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 07:00:00,7,,,,,,,,,,,4.0,,,167.9395751953125
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 08:00:00,8,,,,,,,,,,,4.0,,,476.96905517578125
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 09:00:00,9,,,,,,,,,,,4.0,,,1108.4530029296875
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 10:00:00,10,,,,,,,,,,,4.0,,,2013.2686767578125
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 11:00:00,11,,,,,,,,,,,4.0,,,1818.4530029296875
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 12:00:00,12,,,,,,,,,,,4.0,,,1968.27685546875
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 13:00:00,13,,,,,,,,,,,4.0,,,1874.4979248046875
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 14:00:00,14,,,,,,,,,,,4.0,,,1568.4700927734375
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 15:00:00,15,,,,,,,,,,,4.0,,,1280.93310546875
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 16:00:00,16,,,,,,,,,,,4.0,,,676.12353515625
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 17:00:00,17,,,,,,,,,,,4.0,,,180.85435485839844
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 18:00:00,18,,,,,,,,,,,4.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 19:00:00,19,,,,,,,,,,,4.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 20:00:00,20,,,,,,,,,,,4.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 21:00:00,21,,,,,,,,,,,4.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 22:00:00,22,,,,,,,,,,,4.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 23:00:00,23,,,,,,,,,,,4.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 00:00:00,0,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 01:00:00,1,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 02:00:00,2,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 03:00:00,3,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 04:00:00,4,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 05:00:00,5,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 06:00:00,6,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 07:00:00,7,,,,,,,,,,,5.0,,,207.1400909423828
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 08:00:00,8,,,,,,,,,,,5.0,,,435.34722900390625
